City,Country,Continent,Elevation,Population,Latitude,Longitude
mexico_city,Mexico,Americas,2,8851080,19.4333,-99.1333
chisinau,Moldova,Europe,86,669693,47.0228,28.8353
casablanca,Morocco,Africa,18,Unknown,33.5333,-7.5833
marrakesh,Morocco,Africa,457,Unknown,,
amsterdam,Netherlands,Americas,14,821752,52.3728,4.8936
utrecht,Netherlands,Americas,14,Unknown,52.0908,5.1217
auckland,New Zealand,Oceania,42,1569900,-36.8492,174.7653
lagos,Nigeria,Africa,12,21000000,6.455,3.3841
oslo,Norway,Europe,24,634293,59.9133,10.7389
karachi,Pakistan,Asia,5,9339023,24.86,67.01
panama_city,Panama,Americas,0,Unknown,8.9711,-79.5347
asuncion,Paraguay,Americas,117,513399,-25.2945,-57.6435
lima,Peru,Americas,158,8472935,-12.06,-77.0375
manila,Philippines,Asia,16,1780148,14.5958,120.9772
warsaw,Poland,Europe,108,1735391,52.23,21.0111
aveiro,Portugal,Europe,8,Unknown,40.6389,-8.6553
braga,Portugal,Europe,188,136885,41.5503,-8.42
coimbra,Portugal,Europe,30,105842,40.2111,-8.4289
funchal,Portugal,Europe,9,111541,32.65,-16.9167
lisbon,Portugal,Europe,60,506891,38.7122,-9.134
porto,Portugal,Europe,91,216405,41.1495,-8.6108
doha,Qatar,Asia,13,796947,25.2867,51.5333
bucharest,Romania,Europe,72,1859322,44.4325,26.1039
arkhangelsk,Russia,Europe,1,350258,64.5431,40.5375
moscow,Russia,Europe,151,12380664,55.7506,37.6175
novosibirsk,Russia,Europe,150,1511369,55.05,82.95
orenburg,Russia,Europe,110,555420,51.7833,55.1
rostov-on-don,Russia,Europe,62,1100091,,
simferopol,Russia,Europe,251,331936,44.9519,34.1022
sochi,Russia,Europe,3,364171,43.5853,39.7203
st._petersburg,Russia,Europe,0,Unknown,27.7931,-82.6652
vladivostok,Russia,Europe,5,598927,43.115,131.8853
riyadh,Saudi Arabia,Asia,589,5188286,24.65,46.71
belgrade,Serbia,Europe,131,1369401,44.8178,20.4569
singapore,Singapore,Asia,15,5535002,1.3,103.8
bratislava,Slovakia,Europe,149,421305,48.1447,17.1128
cape_town,South Africa,Africa,0,Unknown,-33.9253,18.4239
johannesburg,South Africa,Africa,0,Unknown,-26.2044,28.0456
seoul,South Korea,Asia,42,9860372,37.5667,126.9833
barcelona,Spain,Europe,22,1607104,41.3833,2.1833
bilbao,Spain,Europe,21,347965,43.2569,-2.9236
cordoba,Spain,Europe,123,328373,-31.4167,-64.1833
donostia-san_sebastian,Spain,Europe,0,Unknown,,
girona,Spain,Europe,73,Unknown,41.9844,2.8211
las_palmas_de_gran_canaria,Spain,Europe,0,Unknown,,
madrid,Spain,Europe,661,3186241,40.4169,-3.7033
malaga,Spain,Europe,16,567696,36.7194,-4.42
marbella,Spain,Europe,25,140349,36.5167,-4.8833
palma_de_mallorca,Spain,Europe,0,Unknown,,
sabadell,Spain,Europe,198,207547,41.5486,2.1075
salamanca,Spain,Europe,805,148785,20.5703,-101.1972
seville,Spain,Europe,18,698423,,
valencia,Spain,Europe,19,789364,10.1833,-68
colombo,Sri Lanka,Asia,20,647100,6.9167,79.8333
stockholm,Sweden,Europe,18,789024,59.3275,18.0547
geneva,Switzerland,Europe,411,194565,46.2017,6.1469
lausanne,Switzerland,Europe,501,Unknown,46.52,6.6333
zurich,Switzerland,Europe,411,391359,47.3744,8.5411
taipei,Taiwan,Asia,16,Unknown,25.0375,121.5625
bangkok,Thailand,Asia,8,Unknown,13.7525,100.4942
istanbul,Turkey,Asia,42,Unknown,41.0136,28.955
abu_dhabi,UAE,Asia,0,Unknown,24.4667,54.3667
dubai,UAE,Asia,2,Unknown,25.2631,55.2972
bangor_(north_wales),UK,Asia,0,Unknown,,
birmingham,UK,Asia,149,1085810,52.48,-1.9025
brighton,UK,Asia,12,Unknown,50.8208,-0.1375
edinburgh,UK,Asia,75,482005,55.95,-3.1833
glasgow,UK,Asia,36,1209143,55.8611,-4.25
london,UK,Asia,34,8135667,51.5072,-0.1275
manchester,UK,Asia,55,510746,53.479,-2.2452
kiev,Ukraine,Europe,156,2803716,,
montevideo,Uruguay,Americas,0,Unknown,-34.9056,-56.1842
atlanta,USA,Americas,0,Unknown,33.7628,-84.422
boston,USA,Americas,6,667137,42.3188,-71.0852
chicago,USA,Americas,181,2720546,41.8375,-87.6866
cleveland,USA,Americas,199,388072,41.4764,-81.6805
dallas,USA,Americas,129,1300092,32.7935,-96.7667
denver,USA,Americas,1,682545,39.762,-104.8758
houston,USA,Americas,14,2296224,29.786,-95.3885
los_angeles,USA,Americas,82,3971883,34.1141,-118.4068
miami,USA,Americas,1,441003,25.784,-80.2101
minneapolis,USA,Americas,258,410939,44.9635,-93.2678
new_orleans,USA,Americas,2,389617,30.0687,-89.9288
new_york,USA,Americas,14,8550405,40.6943,-73.9249
philadelphia,USA,Americas,12,1567442,40.0077,-75.1339
pittsburgh,USA,Americas,221,Unknown,40.4397,-79.9763
portland,USA,Americas,20,632309,45.5371,-122.65
saint_louis,USA,Americas,0,Unknown,38.6359,93.3649
san_francisco,USA,Americas,19,864816,37.7558,-122.4449
san_jose,USA,Americas,26,1026908,37.3012,-121.848
santa_fe,USA,Americas,2,Unknown,-31.6333,-60.7
seattle,USA,Americas,10,684451,47.6211,-122.3244
washington,USA,Americas,0,Unknown,38.9047,-77.0163
caracas,Venezuela,Americas,887,2082130,10.4806,-66.9036
hanoi,Vietnam,Asia,20,Unknown,21,105.85
ho_chi_minh,Vietnam,Asia,12,Unknown,,
